Goals Rank,Player,Goals,Adjusted Goals,Assists,Adjusted Assists
1,Wayne Gretzky,894,758,1963,1717
2,Gordie Howe,801,925,1049,1265
3,Jaromir Jagr,766,841,1155,1239
4,Brett Hull,741,738,650,652
5,Marcel Dionne,731,610,1040,883
6,Phil Esposito,717,671,873,837
7,Mike Gartner,708,609,627,533
8,Mark Messier,694,628,1193,1104
9,Steve Yzerman,692,644,1063,1006
10,Mario Lemieux,690,616,1033,924
11,Teemu Selanne,684,741,773,824
12,Alex Ovechkin,673,793,563,632
13,Luc Robitaille,668,652,726,702
14,Brendan Shanahan,656,672,698,704
15,Dave Andreychuk,640,605,698,645
16,Jarome Iginla,625,706,675,739
,Joe Sakic,625,643,1016,1036
18,Bobby Hull,610,644,560,595
19,Dino Ciccarelli,608,530,592,522
20,Jari Kurri,601,503,797,682
21,Mark Recchi,577,590,956,979
22,Mike Bossy,573,461,553,445
23,Mats Sundin,564,599,785,811
,Joe Nieuwendyk,564,560,562,564
25,Mike Modano,561,578,813,830
26,Guy Lafleur,560,480,793,681
27,John Bucyk,556,557,813,834
28,Patrick Marleau,555,633,620,686
29,Ron Francis,549,518,1249,1193
30,Michel Goulet,548,443,605,495
31,Maurice Richard,544,653,422,576
32,Stan Mikita,541,541,926,937
33,Keith Tkachuk,538,584,527,566
34,Frank Mahovlich,533,550,570,596
35,Marian Hossa,525,594,609,663
36,Bryan Trottier,524,428,901,749
37,Pat Verbeek,522,487,540,506
38,Dale Hawerchuk,518,435,891,754
39,Pierre Turgeon,515,517,812,798
40,Jeremy Roenick,513,514,703,714
